事件名,显示名,事件说明
server_rank,排行榜,每小时上报一次，有结算时上报一次，只上报榜单前50名
LoginAgree,同意用户协议,在登录界面点击同意协议的勾，去掉也算
mail_attach,邮件附件,完成邮件奖励领取时记录
hangup_reward,挂机收益,领取挂机收益和快速挂机时上报
LoginServerStart,登录服务器开始,
hero_strengthen,英雄养成,升级、进阶、修行、修行突破、穿装备、穿功法、重生、转职、转职重置
UpdateCheckError,检查更新错误,
store_buy,购买商品,在商店中购买商品后上报，商会、每日特卖、追缉商店、联盟商店、联赛商店、冠军商店、突围商店、巅峰商店、升级礼包、每日礼包、通缉令礼包
UpdateDownloadProgress,下载更新进度,每过10%会上报一次
UpdateCheckVersion,检查更新版本,从服务器拿到版本号
LoginServerListFinish,获取服务器列表结束,
competition_guessing,竞猜赛,参与押注的竞猜在结果出来后上报
delegation,委托,委托刷新、派遣、一键派遣、领取奖励、购买委托特权时上报
arena_fight,竞技场,新星联赛刷新后上报、新星联赛挑战后上报、银河联赛刷新后上报、银河联赛挑战后上报
LoginServerError,登录服务器错误,
UpdateCheckFinish,检查更新结束,解析得到需要更新的大小
LoginServerListStart,获取服务器列表开始,
LoginSelectServer,手动选择服务器,手动选择才发
LoginVerifyFinish,登录验证结束,
weekpass_activate,周卡激活,周卡激活时上报
gain_reward,奖励领取,点击领取各奖励时上报记录:主线阶段、试练塔阶段、影之城首通、新星联赛阶段、月签到、活跃战令、修行赠礼免费、成长基金、签到基金、周末福利、强者之路、七天签到、新人福利、传奇助阵、猎码计划(强者集结)、排行榜奖励、大事纪、开服1000抽、在线奖励、日常、周常、成就、绝境突围阶段、通缉令阶段、双队爬塔星级奖励和首次满星奖励和全通奖励
inherity_strengthen,传承养成,点亮图鉴、传承升级、传承突破
LoginVerifyError,登录验证错误,
map_fight,副本战斗,在战斗结束时记录:武神殿、武道试炼
recharge_start,发起充值,发起充值时记录
tower_like_sweep,爬塔类关卡扫荡,"扫荡和全部扫荡时上报记录：列车站台、极限试炼、狂风怒号、独木成林、星火燎原、山崩地裂、影子城、讲武堂
新增：联盟-疾行之试、绝境突围(横版闯关)、讲武堂-物免、讲武堂-魔免、迷失遗迹（双队爬塔）"
LoginSDKStart,登录SDK开始,
resonance,共鸣,开格子、上英雄、下英雄、刷新冷却等操作时上报
vip_level_up,VIP升级,VIP经验等级变化时上报
LoginVerifyStart,登录验证开始,
openid_register,账号注册,账号注册完成时上报
street_game_hall,街机厅,街机厅刷新、抽取时上报
peakedness_match_pvp,巅峰之战,匹配战斗后上报
main_stage_fight,主线关卡,战斗结束时上报记录
friend,好友操作,申请好友/通过申请/删除好友上报
tower_like_fight,爬塔类关卡战斗,"战斗结束时上报记录，列车站台、极限试炼、狂风怒号、独木成林、星火燎原、山崩地裂、影子城、讲武堂
新增：联盟-疾行之试、绝境突围(横版闯关)、讲武堂-物免、讲武堂-魔免、迷失遗迹（双队爬塔）"
ta_app_start,app启动,开启客户端自动采集后自动上报
role_register,角色注册,角色注册完成时上报
LoginServerFinish,登录服务器结束,
secret_treasure,秘宝,秘宝激活、秘宝升星时上报、觉醒
monthpass_activate,月卡激活,月卡激活时上报
UpdateDownloadFinish,下载更新完成,
professional_special,职业专精,职业专精升级时上报
logout,角色登出,退出游戏/与服务器断开连接时候记录
store_refresh,商店刷新,在商店中点击补货按钮后上报
device_register,设备注册,设备注册完成时上报
ta_app_end,app关闭,开启客户端自动采集后自动上报
UpdateCheckStart,检查更新开始,
growth_fund_activate,基金激活,基金激活时上报
level_up,角色升级,主角升级时上报
online_daily_refresh,零点在线刷新,玩家在线跨天零点刷新上报，玩家登陆过游戏的判断：一定会触发login或online_daily_refresh
LoginSDKFinish,登录SDK结束,
hero_relation,羁绊,英雄赠礼，羁绊升级时上报
equip_strengthen,装备养成,强化、洗练、元素重铸、进阶、觉醒、精炼时上报
server_online,当前在线人数,每1分钟上报一次，例如00分、01分、02分、、
draw_card,抽卡,抽卡
LoginServerListError,获取服务器列表错误,
arrest_order,通缉令,追捕时上报
book_strengthen,秘典养成(功法),合成、置换、升星
ta_app_crash,app崩溃,开启客户端自动采集后自动上报
login,角色登录,登录完成后
ta_app_install,app安装,开启客户端自动采集后自动上报
recharge_finish,充值成功,充值成功时记录
guide,新手引导,进入引导/退出引导时记录
UpdateDownloadStart,下载更新开始,
